country,happyness index score,gdp per capita, social support, healthy life expectancy, freedom to make life choices, generosity, perception of corruption, population
morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,35715900
azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,10027874
lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,6855713
indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,266911900
china,5.191,1.029,1.125,0.893,0.521,0.058,0.1,1399910000
vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,96208984
bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167,741672
cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,24348251
bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,7000039
ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,30280811
ivory coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09,25823071
nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,29609623
jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,10543700
benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,11733059
gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,2172579
laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164,7123205
south africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,58775022
albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,2862427
venezuela,4.707,0.96,1.427,0.805,0.154,0.064,0.047,32219521
cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,15288489
senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,16209125
somalia,4.668,0.0,0.698,0.268,0.559,0.243,0.27,15442905
namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2458936
niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,22314743
burkina faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,20870060
armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,2961600
iran,4.548,1.1,0.842,0.785,0.305,0.27,0.125,82932700
guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,12218357
georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,3723500
gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,2347706
kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,47564296
mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,4077347
mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,28571310
tunisia,4.461,0.921,1.0,0.815,0.167,0.059,0.055,11551448
bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,167551000
iraq,4.437,1.043,0.98,0.574,0.241,0.148,0.089,39127900
mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,19973000
sierra leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,7901454
sri lanka,4.366,0.949,1.265,0.831,0.47,0.244,0.047,21803000
myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,54339766
chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078,15692969
ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01,41976189
ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1,98665000
uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06,40006700
egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,99576000
zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,17381168
togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085,7538000
india,4.015,0.755,0.765,0.588,0.498,0.2,0.085,1354550000
liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,4475353
comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,873724
madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,25680342
lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,2007201
burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18,10953317
zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,15159624
haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11,11577779
botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2338851
syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141,17070135
malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,17563749
yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077,29161922
rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,12374397
tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,55890747
afghanistan,3.203,0.35,0.517,0.361,0.0,0.158,0.025,32225560
central african republic,3.083,0.026,0.0,0.105,0.225,0.235,0.035,5496011
south sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091,12778250
